fio version 2 iolog
/mnt/ms111/group2/ssd/test_file write 1138688 4096
/mnt/ms111/group2/ssd/test_file write 1142784 4096
/mnt/ms111/group2/ssd/test_file write 1146880 4096
/mnt/ms111/group2/ssd/test_file write 1150976 4096
/mnt/ms111/group2/ssd/test_file write 1155072 4096
/mnt/ms111/group2/ssd/test_file write 1159168 4096
/mnt/ms111/group2/ssd/test_file write 1163264 4096
/mnt/ms111/group2/ssd/test_file write 1167360 4096
/mnt/ms111/group2/ssd/test_file write 1171456 4096
/mnt/ms111/group2/ssd/test_file write 1175552 4096
/mnt/ms111/group2/ssd/test_file write 1179648 4096
/mnt/ms111/group2/ssd/test_file write 1183744 4096
/mnt/ms111/group2/ssd/test_file write 1187840 4096
/mnt/ms111/group2/ssd/test_file write 1191936 4096
/mnt/ms111/group2/ssd/test_file write 1196032 4096
/mnt/ms111/group2/ssd/test_file write 1200128 4096
/mnt/ms111/group2/ssd/test_file write 1204224 4096
/mnt/ms111/group2/ssd/test_file write 1208320 4096
/mnt/ms111/group2/ssd/test_file write 1212416 4096
/mnt/ms111/group2/ssd/test_file write 1216512 4096
/mnt/ms111/group2/ssd/test_file write 1220608 4096
/mnt/ms111/group2/ssd/test_file write 1224704 4096
/mnt/ms111/group2/ssd/test_file write 1228800 4096
/mnt/ms111/group2/ssd/test_file write 1232896 4096
/mnt/ms111/group2/ssd/test_file write 1236992 4096
/mnt/ms111/group2/ssd/test_file write 1241088 4096
/mnt/ms111/group2/ssd/test_file write 1245184 4096
/mnt/ms111/group2/ssd/test_file write 1249280 4096
/mnt/ms111/group2/ssd/test_file write 1253376 4096
/mnt/ms111/group2/ssd/test_file write 1257472 4096
/mnt/ms111/group2/ssd/test_file write 1261568 4096
/mnt/ms111/group2/ssd/test_file write 1265664 4096
/mnt/ms111/group2/ssd/test_file write 1269760 4096
/mnt/ms111/group2/ssd/test_file write 1273856 4096
/mnt/ms111/group2/ssd/test_file write 1277952 4096
/mnt/ms111/group2/ssd/test_file write 1282048 4096
/mnt/ms111/group2/ssd/test_file write 1286144 4096
/mnt/ms111/group2/ssd/test_file write 1290240 4096
/mnt/ms111/group2/ssd/test_file write 1294336 4096
/mnt/ms111/group2/ssd/test_file write 1298432 4096
/mnt/ms111/group2/ssd/test_file write 1302528 4096
/mnt/ms111/group2/ssd/test_file write 1306624 4096
